Pais;Ano;Quantidade
Brazil;2018;308400.0
Brazil;2019;217600.0
Brazil;2020;225700.0
Brazil;2021;292800.0
Bulgaria;2006;175700.0
Bulgaria;2007;179600.0
Bulgaria;2008;161700.0
Bulgaria;2009;124600.0
Bulgaria;2010;103000.0
Bulgaria;2011;109800.0
Bulgaria;2012;133700.0
Bulgaria;2013;175500.0
Bulgaria;2014;83300.0
Bulgaria;2015;136700.0
Bulgaria;2016;124500.0
Bulgaria;2017;115700.0
Bulgaria;2018;108400.0
Bulgaria;2019;91800.0
Bulgaria;2020;82300.0
Bulgaria;2021;89300.0
Canada;2006;52700.0
Canada;2007;50200.0
Canada;2008;54300.0
Canada;2009;45400.0
Canada;2010;50700.0
Canada;2011;61400.0
Canada;2012;62000.0
Canada;2013;69700.0
Canada;2014;58200.0
Canada;2015;59800.0
Canada;2016;63800.0
Canada;2017;70400.0
Canada;2018;70300.0
Canada;2019;69700.0
Canada;2020;65600.0
Canada;2021;65600.0
Chile;2006;844800.0
Chile;2007;822700.0
Chile;2008;868300.0
Chile;2009;1009300.0
Chile;2010;884400.0
Chile;2011;1046400.0
Chile;2012;1255400.0
Chile;2013;1282100.0
Chile;2014;989600.0
Chile;2015;1286600.0
Chile;2016;1014300.0
Chile;2017;949200.0
Chile;2018;1289800.0
Chile;2019;1193900.0
Chile;2020;1033700.0
Chile;2021;1343700.0
China;2006;1190000.0
China;2007;1250000.0
China;2008;1260000.0
China;2009;1280000.0
China;2010;1300000.0
China;2011;1342600.0
China;2012;1606500.0
China;2013;1369300.0
China;2014;1349600.0
China;2015;1334500.0
China;2016;1321700.0
China;2017;1163600.0
China;2018;926900.0
China;2019;782400.0
China;2020;658700.0
China;2021;590800.0
Côte d'Ivoire;2010;0.0
Côte d'Ivoire;2011;0.0
Côte d'Ivoire;2012;0.0
Côte d'Ivoire;2013;0.0
Côte d'Ivoire;2014;0.0
Côte d'Ivoire;2015;0.0
Côte d'Ivoire;2016;0.0
Côte d'Ivoire;2017;0.0
Côte d'Ivoire;2018;0.0
Côte d'Ivoire;2019;0.0
Côte d'Ivoire;2020;0.0
Côte d'Ivoire;2021;0.0
Croatia;2006;123700.0
Croatia;2007;136500.0
Croatia;2008;127600.0
Croatia;2009;142400.0
Croatia;2010;143300.0
Croatia;2011;140900.0
Croatia;2012;129300.0
Croatia;2013;124800.0
Croatia;2014;84200.0
Croatia;2015;99200.0
Croatia;2016;76000.0
Croatia;2017;72600.0
Croatia;2018;95200.0
Croatia;2019;95200.0
Croatia;2020;80000.0
Croatia;2021;76500.0
Cuba;2006;9400.0
Cuba;2007;10200.0
Cuba;2008;10600.0
Cuba;2009;10400.0
Cuba;2010;10800.0
Cuba;2011;11400.0
Cuba;2012;12400.0
Cuba;2013;11600.0
Cuba;2014;12500.0
Cuba;2015;11500.0
Cuba;2016;11700.0
Cuba;2017;12000.0
Cuba;2018;11400.0
Cuba;2019;10600.0
Cuba;2020;14400.0
Cuba;2021;13100.0
Cyprus;2006;18300.0
Cyprus;2007;16900.0
Cyprus;2008;14700.0
Cyprus;2009;14500.0
Cyprus;2010;11400.0
Cyprus;2011;8500.0
Cyprus;2012;11200.0
Cyprus;2013;9400.0
Cyprus;2014;8600.0
Cyprus;2015;9100.0
Cyprus;2016;6900.0
Cyprus;2017;9900.0
Cyprus;2018;10900.0
Cyprus;2019;10000.0
Cyprus;2020;8900.0
Cyprus;2021;6800.0
Czech Republic;2006;43200.0
Czech Republic;2007;82000.0
Czech Republic;2008;84000.0
Czech Republic;2009;57000.0
Czech Republic;2010;56400.0
Czech Republic;2011;65000.0
Czech Republic;2012;47000.0
Czech Republic;2013;50100.0
Czech Republic;2014;53600.0
Czech Republic;2015;81900.0
Czech Republic;2016;63100.0
Czech Republic;2017;64500.0
Czech Republic;2018;69100.0
Czech Republic;2019;49200.0
Czech Republic;2020;60300.0
Czech Republic;2021;59200.0
Denmark;2010;0.0
Denmark;2011;0.0
Denmark;2012;0.0
Denmark;2013;0.0
Denmark;2014;0.0
Denmark;2015;1100.0
Denmark;2016;100.0
Denmark;2017;100.0
Denmark;2018;100.0
Denmark;2019;100.0
Denmark;2020;100.0
Denmark;2021;100.0
Egypt;2006;6800.0
Egypt;2007;10500.0
Egypt;2008;14300.0
Egypt;2009;11800.0
Egypt;2010;4400.0
Egypt;2011;4300.0
Egypt;2012;4500.0
Egypt;2013;4500.0
Egypt;2014;5000.0
Egypt;2015;5900.0
Egypt;2016;5800.0
Egypt;2017;6000.0
Egypt;2018;5700.0
Egypt;2019;5400.0
Egypt;2020;5300.0
Egypt;2021;5300.0
Estonia;2006;1000.0
Estonia;2007;1000.0
Estonia;2008;1000.0
Estonia;2009;1000.0
Estonia;2010;2800.0
Estonia;2011;6400.0
Estonia;2012;9600.0
Estonia;2013;10700.0
Estonia;2014;11100.0
Estonia;2015;11500.0
Estonia;2016;11000.0
Estonia;2017;11000.0
Estonia;2018;11000.0
Estonia;2019;11000.0
Estonia;2020;11000.0
Estonia;2021;11000.0
Ethiopia;2006;2600.0
Ethiopia;2007;3000.0
Ethiopia;2008;1400.0
Ethiopia;2009;1600.0
Ethiopia;2010;900.0
Ethiopia;2011;900.0
Ethiopia;2012;900.0
Ethiopia;2013;900.0
Ethiopia;2014;900.0
Ethiopia;2015;800.0
Ethiopia;2016;800.0
Ethiopia;2017;800.0
Ethiopia;2018;800.0
Ethiopia;2019;800.0
Ethiopia;2020;800.0
Ethiopia;2021;800.0
France;2006;5212700.0
France;2007;4567200.0
France;2008;4265400.0
France;2009;4626900.0
France;2010;4438100.0
France;2011;5075700.0
France;2012;4154800.0
France;2013;4213400.0
France;2014;4653400.0
France;2015;4777500.0
France;2016;4536700.0
France;2017;3660500.0
France;2018;4918600.0
France;2019;4232400.0
France;2020;4673900.0
France;2021;3775300.0
Georgia;2006;95000.0
Georgia;2007;147500.0
Georgia;2008;110500.0
Georgia;2009;104300.0
Georgia;2010;103400.0
Georgia;2011;110800.0
Georgia;2012;83000.0
Georgia;2013;99700.0
Georgia;2014;92000.0
Georgia;2015;119600.0
Georgia;2016;88400.0
Georgia;2017;100200.0
Georgia;2018;174000.0
Georgia;2019;176000.0
Georgia;2020;180000.0
Georgia;2021;210000.0
Germany;2006;891600.0
Germany;2007;1026100.0
Germany;2008;999100.0
Germany;2009;922800.0
Germany;2010;690600.0
Germany;2011;913200.0
Germany;2012;901200.0
Germany;2013;840900.0
Germany;2014;920200.0
Germany;2015;881900.0
Germany;2016;901300.0
Germany;2017;746200.0
Germany;2018;1026800.0
Germany;2019;821800.0
Germany;2020;840500.0
Germany;2021;844800.0
Global;2006;28281700.0
Global;2007;26807400.0
Global;2008;26913300.0
Global;2009;26925400.0
Global;2010;26180000.0
Global;2011;26773300.0
Global;2012;26064200.0
Global;2013;29221700.0
Global;2014;27045300.0
Global;2015;27710000.0
Global;2016;27054500.0
Global;2017;24830000.0
Global;2018;29464100.0
Global;2019;25814300.0
Global;2020;26209800.0
Global;2021;26087200.0
Greece;2006;393800.0
Greece;2007;351100.0
Greece;2008;386900.0
Greece;2009;336600.0
Greece;2010;295000.0
Greece;2011;275000.0
Greece;2012;311500.0
Greece;2013;334300.0
Greece;2014;280000.0
Greece;2015;250100.0
Greece;2016;249000.0
Greece;2017;255000.0
Greece;2018;223500.0
Greece;2019;238700.0
Greece;2020;222100.0
Greece;2021;241600.0
Hungary;2006;310000.0
Hungary;2007;322200.0
Hungary;2008;346000.0
Hungary;2009;306500.0
Hungary;2010;164600.0
Hungary;2011;250800.0
Hungary;2012;176500.0
Hungary;2013;257300.0
Hungary;2014;242700.0
Hungary;2015;278000.0
Hungary;2016;282100.0
Hungary;2017;254800.0
Hungary;2018;364500.0
Hungary;2019;239400.0
Hungary;2020;258600.0
Hungary;2021;258800.0
India;2006;8600.0
India;2007;11200.0
India;2008;11700.0
India;2009;14900.0
India;2010;16000.0
India;2011;14200.0
India;2012;14600.0
India;2013;17000.0
India;2014;17300.0
India;2015;18300.0
India;2016;19400.0
India;2017;20400.0
India;2018;21000.0
India;2019;18000.0
India;2020;18000.0
India;2021;18000.0
Iran;2015;0.0
Iran;2016;0.0
Iran;2017;0.0
Iran;2018;0.0
Iran;2019;0.0
Iran;2020;0.0
Iran;2021;0.0
Ireland;2010;0.0
Ireland;2011;0.0
Ireland;2012;0.0
Ireland;2013;0.0
Ireland;2014;0.0
Ireland;2015;0.0
Ireland;2016;0.0
Ireland;2017;0.0
Ireland;2018;0.0
Ireland;2019;0.0
Ireland;2020;0.0
Ireland;2021;0.0
Israel;2006;23400.0
Israel;2007;21800.0
Israel;2008;22800.0
Israel;2009;23000.0
Israel;2010;24500.0
Israel;2011;25900.0
Israel;2012;28000.0
Israel;2013;30000.0
Israel;2014;32000.0
Israel;2015;34100.0
Israel;2016;36100.0
Israel;2017;38100.0
Israel;2018;40200.0
Israel;2019;42200.0
Israel;2020;49600.0
Israel;2021;38500.0
Italy;2006;5203600.0
Italy;2007;4598100.0
Italy;2008;4697000.0
Italy;2009;4731400.0
Italy;2010;4852500.0
Italy;2011;4277200.0
Italy;2012;4561600.0
Italy;2013;5402900.0
Italy;2014;4422900.0
Italy;2015;4999600.0
Italy;2016;5092000.0
Italy;2017;4250000.0
Italy;2018;5478300.0
Italy;2019;4753300.0
Italy;2020;4906600.0
Italy;2021;5023200.0
Japan;2006;90000.0
Japan;2007;63000.0
Japan;2008;66000.0
Japan;2009;73000.0
Japan;2010;75000.0
Japan;2011;79000.0
Japan;2012;80000.0
Japan;2013;80000.0
Japan;2014;85000.0
Japan;2015;75900.0
Japan;2016;80600.0
Japan;2017;78600.0
Japan;2018;79800.0
Japan;2019;86100.0
Japan;2020;80500.0
Japan;2021;80500.0
Kazakhstan;2006;19600.0
Kazakhstan;2007;11200.0
Kazakhstan;2008;13300.0
Kazakhstan;2009;17200.0
Kazakhstan;2010;17200.0
Kazakhstan;2011;15800.0
Kazakhstan;2012;15500.0
Kazakhstan;2013;20900.0
Kazakhstan;2014;22000.0
Kazakhstan;2015;24200.0
Kazakhstan;2016;29900.0
Kazakhstan;2017;32700.0
Kazakhstan;2018;50100.0
Kazakhstan;2019;44500.0
Kazakhstan;2020;43800.0
Kazakhstan;2021;23300.0
Korea (the Republic of);2010;0.0
Korea (the Republic of);2011;0.0
Korea (the Republic of);2012;0.0
Korea (the Republic of);2013;0.0
Korea (the Republic of);2014;0.0
Korea (the Republic of);2015;0.0
Korea (the Republic of);2016;0.0
Korea (the Republic of);2017;0.0
Korea (the Republic of);2018;0.0
Korea (the Republic of);2019;0.0
Korea (the Republic of);2020;0.0
Korea (the Republic of);2021;0.0
Kyrgyzstan;2006;1800.0
Kyrgyzstan;2007;1100.0
Kyrgyzstan;2008;1300.0
Kyrgyzstan;2009;1400.0
Kyrgyzstan;2010;1600.0
Kyrgyzstan;2011;1400.0
Kyrgyzstan;2012;1300.0
Kyrgyzstan;2013;1800.0
Kyrgyzstan;2014;1700.0
Kyrgyzstan;2015;2600.0
Kyrgyzstan;2016;2400.0
Kyrgyzstan;2017;2800.0
Kyrgyzstan;2018;5600.0
Kyrgyzstan;2019;3800.0
Kyrgyzstan;2020;1400.0
Kyrgyzstan;2021;1400.0
Latvia;2006;5300.0
Latvia;2007;2600.0
Latvia;2008;2500.0
Latvia;2009;1800.0
Latvia;2010;2500.0
Latvia;2011;2200.0
Latvia;2012;2200.0
Latvia;2013;2200.0
Latvia;2014;2400.0
Latvia;2015;2100.0
Latvia;2016;2500.0
Latvia;2017;3200.0
Latvia;2018;2700.0
Latvia;2019;2000.0
Latvia;2020;2000.0
Latvia;2021;2000.0
Lebanon;2006;13000.0
Lebanon;2007;11000.0
Lebanon;2008;9000.0
Lebanon;2009;7000.0
Lebanon;2010;6500.0
Lebanon;2011;8000.0
Lebanon;2012;9000.0
Lebanon;2013;9500.0
Lebanon;2014;9100.0
Lebanon;2015;10900.0
Lebanon;2016;10000.0
Lebanon;2017;10000.0
Lebanon;2018;10000.0
Lebanon;2019;10000.0
Lebanon;2020;10000.0
Lebanon;2021;10000.0
Libya;2010;0.0
Libya;2011;0.0
Libya;2012;0.0
Libya;2013;0.0
Libya;2014;0.0
Libya;2015;0.0
Libya;2016;0.0
Libya;2017;0.0
Libya;2018;0.0
Libya;2019;0.0
Libya;2020;0.0
Libya;2021;0.0
Lithuania;2006;7200.0
Lithuania;2007;8900.0
Lithuania;2008;8300.0
Lithuania;2009;5400.0
Lithuania;2010;7200.0
Lithuania;2011;6100.0
Lithuania;2012;6500.0
Lithuania;2013;5700.0
Lithuania;2014;6000.0
Lithuania;2015;4400.0
Lithuania;2016;4800.0
Lithuania;2017;4100.0
Lithuania;2018;4700.0
Lithuania;2019;4100.0
Lithuania;2020;3200.0
Lithuania;2021;3200.0
Luxemburg;2006;12400.0
Luxemburg;2007;14200.0
Luxemburg;2008;13000.0
Luxemburg;2009;13500.0
Luxemburg;2010;11000.0
Luxemburg;2011;13200.0
Luxemburg;2012;8500.0
Luxemburg;2013;10100.0
Luxemburg;2014;12500.0
Luxemburg;2015;11100.0
Luxemburg;2016;8300.0
Luxemburg;2017;8100.0
Luxemburg;2018;13600.0
Luxemburg;2019;7600.0
Luxemburg;2020;9700.0
Luxemburg;2021;9700.0
Madagascar;2006;6700.0
Madagascar;2007;7400.0
Madagascar;2008;7500.0
Madagascar;2009;8300.0
Madagascar;2010;8300.0
Madagascar;2011;8200.0
Madagascar;2012;8400.0
Madagascar;2013;8400.0
Madagascar;2014;7500.0
Madagascar;2015;7700.0
Madagascar;2016;7800.0
Madagascar;2017;7800.0
Madagascar;2018;7800.0
Madagascar;2019;7800.0
Madagascar;2020;7800.0
Madagascar;2021;7800.0
Malta;2006;6500.0
Malta;2007;4800.0
Malta;2008;3200.0
Malta;2009;3700.0
Malta;2010;1500.0
Malta;2011;1500.0
Malta;2012;2200.0
Malta;2013;2100.0
Malta;2014;2100.0
Malta;2015;2000.0
Malta;2016;1500.0
Malta;2017;1500.0
Malta;2018;1700.0
Malta;2019;1300.0
Malta;2020;1200.0
Malta;2021;1100.0
Mexico;2006;56800.0
Mexico;2007;63000.0
Mexico;2008;55700.0
Mexico;2009;35300.0
Mexico;2010;34600.0
Mexico;2011;38500.0
Mexico;2012;39400.0
Mexico;2013;41800.0
Mexico;2014;39700.0
Mexico;2015;42500.0
Mexico;2016;40400.0
Mexico;2017;38700.0
Mexico;2018;40600.0
Mexico;2019;40600.0
Mexico;2020;39800.0
Mexico;2021;39600.0
Moldova;2006;193800.0
Moldova;2007;151000.0
Moldova;2008;171000.0
Moldova;2009;159000.0
Moldova;2010;84000.0
Moldova;2011;152000.0
Moldova;2012;147000.0
Moldova;2013;257000.0
Moldova;2014;163000.0
Moldova;2015;156000.0
Moldova;2016;149500.0
Moldova;2017;180100.0
Moldova;2018;190000.0
Moldova;2019;146000.0
Moldova;2020;92000.0
Moldova;2021;143000.0
Montenegro;2006;16600.0
Montenegro;2007;13000.0
Montenegro;2008;17000.0
Montenegro;2009;17100.0
Montenegro;2010;18000.0
Montenegro;2011;11800.0
Montenegro;2012;17400.0
Montenegro;2013;16000.0
Montenegro;2014;9700.0
Montenegro;2015;11300.0
Montenegro;2016;10100.0
Montenegro;2017;11000.0
Montenegro;2018;8800.0
Montenegro;2019;10200.0
Montenegro;2020;7000.0
Montenegro;2021;7000.0
Morocco;2006;41900.0
Morocco;2007;37000.0
Morocco;2008;35000.0
Morocco;2009;29500.0
Morocco;2010;33700.0
Morocco;2011;34000.0
Morocco;2012;34500.0
Morocco;2013;37000.0
Morocco;2014;32700.0
Morocco;2015;38600.0
Morocco;2016;32500.0
Morocco;2017;34400.0
Morocco;2018;40800.0
Morocco;2019;47400.0
Morocco;2020;40900.0
Morocco;2021;40900.0
Namibia;2010;0.0
Namibia;2011;0.0
Namibia;2012;0.0
Namibia;2013;0.0
Namibia;2014;0.0
Namibia;2015;0.0
Namibia;2016;0.0
Namibia;2017;0.0
Namibia;2018;0.0
Namibia;2019;0.0
Namibia;2020;0.0
Namibia;2021;0.0
Netherlands;2010;100.0
Netherlands;2011;100.0
Netherlands;2012;100.0
Netherlands;2013;800.0
Netherlands;2014;700.0
Netherlands;2015;800.0
Netherlands;2016;800.0
Netherlands;2017;600.0
Netherlands;2018;600.0
Netherlands;2019;800.0
Netherlands;2020;800.0
Netherlands;2021;800.0
New Zealand;2006;133200.0
New Zealand;2007;147600.0
New Zealand;2008;205200.0
New Zealand;2009;205000.0
New Zealand;2010;190000.0
New Zealand;2011;235000.0
New Zealand;2012;194000.0
New Zealand;2013;248400.0
New Zealand;2014;320400.0
New Zealand;2015;234700.0
New Zealand;2016;313900.0
New Zealand;2017;285100.0
New Zealand;2018;301700.0
New Zealand;2019;297400.0
New Zealand;2020;329000.0
New Zealand;2021;266400.0
Panama;2006;100.0
Panama;2007;100.0
Panama;2008;100.0
Panama;2009;100.0
Panama;2010;200.0
Panama;2011;100.0
Panama;2012;100.0
Panama;2013;100.0
Panama;2014;200.0
Panama;2015;100.0
Panama;2016;100.0
Panama;2017;100.0
Panama;2018;100.0
Panama;2019;100.0
Panama;2020;100.0
Panama;2021;100.0
Paraguay;2006;2500.0
Paraguay;2007;1600.0
Paraguay;2008;1400.0
Paraguay;2009;1400.0
Paraguay;2010;1300.0
Paraguay;2011;1400.0
Paraguay;2012;1400.0
Paraguay;2013;1400.0
Paraguay;2014;1500.0
Paraguay;2015;1500.0
Paraguay;2016;1600.0
Paraguay;2017;1600.0
Paraguay;2018;1900.0
Paraguay;2019;1800.0
Paraguay;2020;1700.0
Paraguay;2021;1700.0
Peru;2006;60000.0
Peru;2007;61000.0
Peru;2008;62000.0
Peru;2009;51500.0
Peru;2010;52000.0
Peru;2011;63000.0
Peru;2012;65000.0
Peru;2013;70000.0
Peru;2014;73000.0
Peru;2015;74700.0
Peru;2016;75000.0
Peru;2017;76500.0
Peru;2018;82000.0
Peru;2019;82000.0
Peru;2020;81000.0
Peru;2021;81000.0
Poland;2010;0.0
Poland;2011;0.0
Poland;2012;0.0
Poland;2013;500.0
Poland;2014;500.0
Poland;2015;500.0
Poland;2016;500.0
Poland;2017;500.0
Poland;2018;500.0
Poland;2019;500.0
Poland;2020;500.0
Poland;2021;500.0
Portugal;2006;754200.0
Portugal;2007;607300.0
Portugal;2008;568900.0
Portugal;2009;589400.0
Portugal;2010;714800.0
Portugal;2011;562200.0
Portugal;2012;632700.0
Portugal;2013;623100.0
Portugal;2014;620600.0
Portugal;2015;704800.0
Portugal;2016;601000.0
Portugal;2017;673700.0
Portugal;2018;606000.0
Portugal;2019;652700.0
Portugal;2020;641800.0
Portugal;2021;735900.0
Republic of North Macedonia;2006;61500.0
Republic of North Macedonia;2007;107500.0
Republic of North Macedonia;2008;92400.0
Republic of North Macedonia;2009;95500.0
Republic of North Macedonia;2010;77200.0
Republic of North Macedonia;2011;66500.0
Republic of North Macedonia;2012;78100.0
Republic of North Macedonia;2013;102400.0
Republic of North Macedonia;2014;79000.0
Republic of North Macedonia;2015;109600.0
Republic of North Macedonia;2016;105300.0
Republic of North Macedonia;2017;65700.0
Republic of North Macedonia;2018;102600.0
Republic of North Macedonia;2019;90600.0
Republic of North Macedonia;2020;93600.0
Republic of North Macedonia;2021;93600.0
Republic of Türkiye;2006;25300.0
Republic of Türkiye;2007;24400.0
Republic of Türkiye;2008;39300.0
Republic of Türkiye;2009;47600.0
Republic of Türkiye;2010;60100.0
Republic of Türkiye;2011;57100.0
Republic of Türkiye;2012;54600.0
Republic of Türkiye;2013;60400.0
Republic of Türkiye;2014;60400.0
Republic of Türkiye;2015;61700.0
Republic of Türkiye;2016;49600.0
Republic of Türkiye;2017;64400.0
Republic of Türkiye;2018;75400.0
Republic of Türkiye;2019;72500.0
Republic of Türkiye;2020;62200.0
Republic of Türkiye;2021;62200.0
Romania;2006;501400.0
Romania;2007;528900.0
Romania;2008;515900.0
Romania;2009;670300.0
Romania;2010;328700.0
Romania;2011;405800.0
Romania;2012;331100.0
Romania;2013;511300.0
Romania;2014;375000.0
Romania;2015;362800.0
Romania;2016;326700.0
Romania;2017;431700.0
Romania;2018;508800.0
Romania;2019;380800.0
Romania;2020;382900.0
Romania;2021;445100.0
Russia;2006;628000.0
Russia;2007;728000.0
Russia;2008;711000.0
Russia;2009;391100.0
Russia;2010;675600.0
Russia;2011;624200.0
Russia;2012;572400.0
Russia;2013;506500.0
Russia;2014;471200.0
Russia;2015;560300.0
Russia;2016;517300.0
Russia;2017;448100.0
Russia;2018;429300.0
Russia;2019;462000.0
Russia;2020;443300.0
Russia;2021;452200.0
Serbia;2006;129200.0
Serbia;2007;167000.0
Serbia;2008;192900.0
Serbia;2009;239200.0
Serbia;2010;120000.0
Serbia;2011;194900.0
Serbia;2012;158100.0
Serbia;2013;120000.0
Serbia;2014;73400.0
Serbia;2015;75800.0
Serbia;2016;64800.0
Serbia;2017;73600.0
Serbia;2018;66500.0
Serbia;2019;70500.0
Serbia;2020;70500.0
Serbia;2021;70500.0
Slovakia;2006;40000.0
Slovakia;2007;34000.0
Slovakia;2008;41500.0
Slovakia;2009;33000.0
Slovakia;2010;19000.0
Slovakia;2011;34300.0
Slovakia;2012;31000.0
Slovakia;2013;31800.0
Slovakia;2014;25800.0
Slovakia;2015;34000.0
Slovakia;2016;30900.0
Slovakia;2017;29800.0
Slovakia;2018;38100.0
Slovakia;2019;31900.0
Slovakia;2020;35300.0
Slovakia;2021;34600.0
Slovenia;2006;52700.0
Slovenia;2007;66400.0
Slovenia;2008;55500.0
Slovenia;2009;59200.0
Slovenia;2010;57000.0
Slovenia;2011;63800.0
Slovenia;2012;48400.0
Slovenia;2013;52600.0
Slovenia;2014;49400.0
Slovenia;2015;61700.0
Slovenia;2016;73900.0
Slovenia;2017;63000.0
Slovenia;2018;88900.0
Slovenia;2019;75800.0
Slovenia;2020;74300.0
Slovenia;2021;58100.0
South Africa;2006;939800.0
South Africa;2007;978300.0
South Africa;2008;1016500.0
South Africa;2009;998600.0
South Africa;2010;932700.0
South Africa;2011;972500.0
South Africa;2012;1056900.0
South Africa;2013;1098200.0
South Africa;2014;1146000.0
South Africa;2015;1123100.0
South Africa;2016;1053100.0
South Africa;2017;1082000.0
South Africa;2018;950300.0
